impressions_7d,clicks_7d,conversions_7d,spend_7d,impressions_30d,clicks_30d,conversions_30d,spend_30d,budget_30d,util_30d,edits_7d,creates_7d,churn
903,37,1,204.34115843099914,3113,128,5,704.0305088893747,952.5564326719368,0.7390958527407738,2,1,0
111,40,3,153.80976152176072,400,147,14,551.4994881252102,810.0160762455353,0.680850052608138,5,1,0
549,35,3,182.75190348871942,2709,177,17,901.6692350437347,1327.2099590639089,0.679371962880454,2,0,0
428,29,2,168.2276233406913,1870,128,11,734.7626780872292,1003.466325949427,0.7322245491317664,3,2,0
620,17,2,84.38634076027547,5556,158,18,756.1085944417733,834.0656844341192,0.9065336322459583,2,1,0
468,37,4,207.09472821896316,1960,156,17,865.9757502375651,988.7413572732255,0.8758364802558413,3,1,0
650,32,2,132.6656785435781,2693,136,11,549.476402462721,792.9927130606591,0.6929148192824434,1,0,0
693,26,1,89.43652288836857,4036,156,11,520.4643634013643,590.148071200716,0.8819216545814118,4,0,0
296,20,2,115.9796739899894,2063,145,14,805.7692952607315,955.1661047396989,0.8435907548041804,2,0,1
1058,48,4,324.4723096116987,3741,170,15,1146.4817397928746,1366.8579373897583,0.8387716882869858,2,1,0
756,29,2,119.47760980484718,4083,161,15,644.6367646326474,863.8748011002882,0.7462154976758152,3,2,0
397,28,2,175.15743522476157,1722,122,12,759.107689973029,1010.1100154360234,0.7515099131507502,1,1,0
233,16,0,81.23204846120875,2185,151,9,761.556934731278,925.8767970018289,0.822525132066544,2,1,0
563,27,3,99.14295241959286,3083,148,21,542.3176547894248,641.5869438214504,0.8452753909848083,2,1,0
950,38,3,148.797614832907,3608,146,14,564.8002260025843,794.0043939027294,0.7113313608082829,2,1,0
1188,23,2,120.20103507627682,6695,135,15,677.1309444036877,998.2155628815436,0.6783414019803673,0,0,0
109,35,4,163.24172258778654,498,161,20,739.8815716442193,829.4987085879678,0.8919622947981424,0,0,1
1055,20,2,74.85478315570792,7433,143,20,527.2534443235718,608.0677318270274,0.867096569553794,0,0,0
1124,29,2,96.35392981145284,6132,159,16,525.6477542851607,713.2343531320593,0.7369916381296823,5,0,0
1311,49,4,203.97067685430127,4592,172,17,714.364275596641,1015.6673971095724,0.7033446949558565,4,2,0
1356,30,2,160.62945443188417,6359,145,11,753.1023062080121,1066.7519412692748,0.7059769727833196,1,0,1
0,0,0,0.0,0,0,0,0.0,0.001,0.0,4,0,0
119,46,4,208.14258984406428,427,165,17,742.2957370124872,1080.0199057255938,0.6872981998547405,3,1,0
0,0,0,0.0,0,0,0,0.0,0.001,0.0,0,2,1
607,38,2,232.61840035898396,2178,138,10,833.523687341051,952.6488742104677,0.8749537315433823,1,3,0
722,14,1,78.18514790963592,7175,144,15,776.7542175025173,1045.6249521781074,0.7428612103072769,2,1,1
632,41,3,201.48814127973165,2207,144,12,702.5315513199005,1003.855609525855,0.6998332675071895,1,3,0
288,18,1,109.58825823048568,2265,145,12,859.5704409657999,1145.6514672287233,0.7502896522666358,1,0,0
0,0,0,0.0,0,0,0,0.0,0.001,0.0,2,1,0
102,17,1,85.92560803716417,923,162,18,773.5630345920331,1097.08804163836,0.7051057027627574,4,1,0
0,0,0,0.0,0,0,0,0.0,0.001,0.0,2,0,1
379,30,4,115.56328561125426,1694,137,19,515.5374035933302,579.5180988660959,0.8895967263180349,2,0,0
681,29,2,133.07290215974422,3775,161,13,737.4002598722184,842.9209477954231,0.8748154400490535,0,0,0
586,15,1,46.73293116332092,5579,152,16,444.60612850391396,628.6451898865247,0.7072449382523213,3,2,0
415,26,2,184.93963808354366,2125,137,13,946.9683925298247,1116.7562516716578,0.8479633681139641,2,1,0
0,0,0,0.0,0,0,0,0.0,0.001,0.0,6,2,0
256,40,3,266.54363721649787,1021,161,13,1060.364375158831,1552.6970868592377,0.6829177333640223,0,2,1
229,23,2,119.40377218609446,1474,152,17,765.7888448693628,1115.2362566083348,0.6866606428294268,1,1,1
215,21,1,119.78890478256112,1503,150,12,834.7296198233938,991.1535506227344,0.8421799218687552,3,1,0
1177,23,2,107.76206651444379,7790,158,18,712.7696318605529,1006.490525983392,0.7081732152065128,2,0,0
373,26,2,139.80640426199224,2322,167,17,869.7242585575997,973.3893145226203,0.8935009308008881,5,1,0
391,35,3,199.98839529313207,1781,161,16,909.7288320381382,1104.4329091944562,0.8237067407758341,2,4,0
546,32,3,181.60748213068092,2815,165,17,934.6511483750401,1261.2816600147703,0.7410328541240303,1,4,0
205,22,2,128.55451397681705,1226,133,16,768.0448608798895,1079.3126293402468,0.7116055533875978,2,0,1
1286,28,2,133.63456550638074,7356,165,17,764.2251028435359,843.8275415763468,0.905665038398597,4,2,0
239,24,4,110.2153275058064,1375,140,24,632.7496458512103,778.5889642453617,0.8126876630784198,4,1,0
351,38,4,132.3896001035223,1194,132,15,449.56872506467636,533.071821635584,0.8433548854360724,1,0,0
137,22,2,123.88418872621476,940,153,17,845.0525087100714,1267.1675145924473,0.6668830276807256,3,2,1
1434,40,3,246.92204689194335,5443,154,14,936.6863215438102,1281.7559053278633,0.730783698869882,1,3,0
662,28,1,187.04791794690476,2741,117,6,774.0698565503977,977.0850595403235,0.7922236134841365,3,1,0
83,17,1,91.72905662386934,829,171,16,907.1845205132669,1025.3563203459653,0.8847505033247115,1,1,1
0,0,0,0.0,0,0,0,0.0,0.001,0.0,3,3,1
1322,35,2,117.02713609227851,5261,141,11,465.7094437961868,631.8199622209372,0.7370920066519452,2,1,0
547,35,3,212.89019661623158,2315,149,13,900.2083432294193,1284.204348512471,0.7009852787620251,4,0,0
0,0,0,0.0,0,0,0,0.0,0.001,0.0,2,1,1
508,33,3,155.36484344060577,2410,158,18,736.1845557164849,1098.8088894465022,0.6699841644777006,2,0,0
829,22,2,109.36067646369654,5506,152,16,725.9053621525659,926.1011130279576,0.7838294889627802,3,1,0
28,17,1,87.12742341623628,262,165,15,813.5399022545819,991.1997137754554,0.820762850259337,3,0,1
1202,42,5,213.9485346535443,4501,159,20,800.6926134056986,992.3631978987095,0.8068544007890801,2,0,1
480,46,5,238.22140050527565,1719,166,19,852.9324943570175,1115.4954750688657,0.7646221014965222,2,2,0
0,0,0,0.0,0,0,0,0.0,0.001,0.0,4,0,1
1166,34,2,171.6802159659669,4531,133,11,666.9492360127269,929.7705990621512,0.7173266574416,1,0,0
396,34,2,94.90314323222326,1596,138,11,382.3185707725609,508.8073223946358,0.7514014715299852,2,0,0
432,26,2,151.65514441081663,3188,195,16,1117.782524252744,1302.356419258298,0.8582769722049896,2,0,1
700,30,3,136.85361608436068,3798,167,21,742.2940989807968,860.8701414138919,0.8622602449210911,2,0,0
1388,29,2,82.89839342192343,7522,158,16,449.18819741471066,584.3403877414399,0.7687098253654654,5,1,0
0,0,0,0.0,0,0,0,0.0,0.001,0.0,1,0,0
793,43,4,193.17902731837364,2967,163,17,722.0777197129014,1011.2021545560482,0.7140785019686967,1,0,0
281,18,1,116.35354208230983,2370,158,16,978.1305395736907,1164.3340968103969,0.8400772100148949,0,1,1
896,31,3,163.50643491490786,4218,148,16,769.1023857790362,876.8083340153966,0.8771613543599496,2,0,0
0,0,0,0.0,0,0,0,0.0,0.001,0.0,3,0,1
2359,39,4,246.45710289876476,9173,155,16,958.0893533041932,1405.7758239059651,0.6815377935879778,1,3,0
273,20,1,100.41426917884567,2111,158,15,774.8092025079306,1021.3133492046057,0.7586400423644208,2,0,0
935,32,3,186.4699994187655,4559,158,18,909.1616978431197,1116.4878466242167,0.814305055439732,3,1,0
507,42,4,243.83113445480328,1871,158,18,898.0500560012548,1104.1131920718058,0.8133677438597712,0,2,0
331,22,2,83.28486749589086,2028,137,15,508.7536793809905,586.5099554212295,0.8674254796162928,4,1,0
1040,29,3,189.2292212117872,5621,158,17,1022.7314052655131,1318.5978564452034,0.7756204063782463,2,3,0
278,38,3,139.14245326717318,1069,149,15,533.3750347694665,755.5507767136572,0.7059420110577266,0,3,0
0,0,0,0.0,0,0,0,0.0,0.001,0.0,1,3,0
989,41,4,144.8914845663058,3639,153,18,532.8878253534382,693.0951553830874,0.7688523303252647,2,2,0
63,22,2,123.58267892168297,389,136,17,761.7682031886275,888.8976259026192,0.8569808052025115,1,1,1
294,14,1,96.34546286595355,2933,140,13,960.6680829410242,1319.171351764096,0.7282360109293959,2,1,0
289,22,2,106.13595200558382,1974,151,15,722.8402228609181,1013.9409342866991,0.7129017070106076,2,1,0
131,18,2,88.92492816124586,1117,159,22,754.2394527863498,851.2959099729044,0.8859897527410372,2,1,1
732,19,2,111.67094323403155,6181,168,20,942.5539198852307,1357.3310995064471,0.6944170955988279,2,3,0
118,33,3,154.88110604407726,496,139,15,649.2138926212065,929.4993287021803,0.6984554722892331,2,0,1
433,23,2,157.7261044741592,3038,162,16,1104.5611500063371,1423.7984610368328,0.7757847618419099,1,1,0
1475,39,3,204.11515405032452,5141,137,13,711.3303381758413,941.9225878687785,0.7551898078857182,2,2,0
1140,31,3,147.46043365256304,5610,155,16,725.3737262257874,1004.9070850457716,0.7218316369943277,4,1,0
918,31,3,138.7291566988557,4782,162,16,722.4737444808993,990.295219722826,0.7295539048276055,1,1,0
415,29,2,118.55311141656532,2225,156,14,634.4600386530088,702.1036094637612,0.9036558566300267,5,0,0
540,40,3,177.28570225390425,2266,170,13,743.2816522512268,854.0123834517029,0.8703406023775317,3,1,0
1003,29,3,136.36332241929867,5271,154,16,715.9962973765761,834.1626214853424,0.8583413820456799,2,2,0
0,0,0,0.0,0,0,0,0.0,0.001,0.0,3,0,1
844,45,4,196.55287495521603,3060,164,16,712.0592550415149,908.612410125332,0.7836776683947064,4,0,0
726,27,2,192.4435104858104,3912,146,12,1036.4308196314562,1366.2251952654856,0.7586090662235638,3,0,0
155,14,1,57.880087216150216,1357,127,12,504.1779252858348,710.4254973457761,0.7096844456871216,3,0,0
355,28,2,147.27796529720163,1729,139,12,715.3819296828183,884.4941441033782,0.8088034663112542,4,1,0
525,34,3,191.2135300596203,2291,149,15,833.2856304543699,1166.230979584783,0.7145116576744063,3,0,0
844,23,2,130.99839098067392,5444,150,16,844.5161993375599,1078.3803802232821,0.7831338689254529,1,0,0
0,0,0,0.0,0,0,0,0.0,0.001,0.0,3,3,1
1269,32,3,153.65778844547705,5426,138,14,656.7830450850713,809.9556409586478,0.8108876731912326,1,0,0
0,0,0,0.0,0,0,0,0.0,0.001,0.0,3,0,1
901,33,2,174.5836038042622,4895,180,16,947.9738969960762,1335.4965437065412,0.7098287909941471,2,0,0
1578,43,4,205.15761847259554,5400,148,15,701.674092454408,777.5108890652605,0.9024620777954312,1,2,0
0,0,0,0.0,0,0,0,0.0,0.001,0.0,4,3,1
1258,31,2,140.66621382133715,5841,144,10,652.6189839840124,920.3085316996777,0.7091306464134575,1,0,1
0,0,0,0.0,0,0,0,0.0,0.001,0.0,0,0,1
2095,33,2,143.46817426613285,8417,133,12,576.2677798411786,651.4920386445034,0.8845354135718425,2,1,0
0,0,0,0.0,0,0,0,0.0,0.001,0.0,0,1,1
325,16,1,87.17397577693056,2983,149,13,798.4516854554957,1077.649371655666,0.7409197336873867,2,2,0
270,42,4,291.533972448605,1030,164,16,1111.9942512119546,1497.433225908339,0.742600225487465,1,0,1
489,26,2,118.40695946115046,2619,142,16,633.6882941956584,766.9793217190116,0.8262130102482927,4,5,1
1102,28,3,167.09799680690134,6556,172,20,993.2356092673258,1269.6242737788596,0.7823067263128946,4,0,0
431,35,4,186.87248556285073,1949,159,20,843.647643885616,999.5176605263574,0.8440547648166032,2,2,0
633,31,3,201.2863354845118,2634,133,13,837.367690195092,938.0466419230714,0.8926716996485596,2,0,0
0,0,0,0.0,0,0,0,0.0,0.001,0.0,1,2,1
0,0,0,0.0,0,0,0,0.0,0.001,0.0,3,3,0
1764,41,4,134.74785929393644,6051,141,16,462.0505098699364,608.5922027140059,0.7592120106196407,3,1,0
1865,37,2,196.77473806383406,8561,170,11,902.9144889434757,1335.0530079776893,0.6763135872119355,3,0,1
685,24,3,110.64954459317339,3851,139,18,621.5453112918457,719.3453004261012,0.8640430554334281,1,0,0
719,33,2,132.87723717894826,2765,127,8,510.50015426427416,561.9518139508664,0.908441153833359,4,0,0
1719,31,3,117.08558031669483,8386,153,16,571.0606112064391,645.7285201132228,0.8843664069635777,2,1,0
460,26,2,137.03178858697137,3103,179,17,923.8146140681008,1187.1797498706048,0.7781590059709078,8,1,0
1007,20,2,130.6180408331672,7125,142,15,924.0944933024978,1277.8137409845413,0.7231840319626656,0,1,1
1071,28,2,130.94523707465416,5972,159,12,730.0210970327394,972.6120798601337,0.7505778636203243,3,0,0
869,36,2,206.7794443424091,3198,136,10,760.2767623062439,986.8081864476412,0.7704402666572154,2,0,0
157,17,1,85.79445735151747,1406,156,13,764.0464493660555,948.6298037097208,0.8054210887937192,3,0,1
479,23,2,87.45055468933347,3338,164,14,608.5413373870435,744.849309885436,0.8169992632209624,2,0,0
1891,34,3,198.1386787789027,6788,124,12,711.1166065952917,889.262606434571,0.7996699753815785,4,0,0
648,18,1,71.87072277748528,5212,148,14,577.9855774839491,777.1916080732647,0.7436847895422248,2,1,0
835,31,3,159.9661522221722,3698,141,16,708.0493549136926,826.366522498987,0.8568224094709264,5,1,0
667,22,2,105.69932491729908,4677,159,15,740.6982540141565,1043.3076986680858,0.7099518722614158,3,1,0
2273,38,4,226.79017197178993,10279,174,21,1025.3954736144303,1363.8808484052777,0.7518218873836211,1,1,0
0,0,0,0.0,0,0,0,0.0,0.001,0.0,1,2,1
242,12,1,68.11479937897973,2015,105,13,566.0413403192058,736.1157922609825,0.7689569307847718,2,2,0
736,35,2,147.70875110662266,3404,164,11,682.273225194813,1013.2527958726096,0.6733494622210657,2,1,0
557,37,2,169.93774147136745,2356,160,12,718.2231660273943,795.9334790058954,0.9023658194707934,1,1,0
1190,38,4,53.157581459570785,5044,165,21,225.19196245588316,265.6845167250428,0.847591591831204,0,0,0
48,33,4,238.69321921056329,212,148,19,1049.6305885994504,1342.8480935098116,0.7816450674297966,4,1,1
551,32,4,178.76810786904585,2755,161,20,893.6396661850233,1211.2186567437595,0.7378020980848201,3,0,0
264,33,3,140.67139071339844,1295,163,15,689.9223597920792,817.4840062873926,0.8439582358624541,1,1,0
1310,38,4,149.63387894793578,5768,170,19,658.808532983391,970.137133819594,0.6790880485004737,1,1,0
0,0,0,0.0,0,0,0,0.0,0.001,0.0,1,1,0
1168,36,3,208.63240171346789,5057,158,14,903.2669665014733,1310.616781089761,0.6891922791881381,1,1,0
1246,32,2,101.34403518789377,5732,150,12,466.18726116226117,574.2165168604955,0.8118666869966059,2,1,0
281,19,1,95.59015026619538,2144,150,14,728.7623371058493,1043.2837334237893,0.698527460707394,3,1,0
834,22,2,153.00029688693922,5869,159,17,1076.532057721565,1347.0523082291616,0.7991761352881513,0,1,0
215,24,2,95.22576632909153,1415,162,16,626.3006935732158,752.2512070882623,0.8325685458152164,2,1,0
176,48,5,248.10751779141748,623,172,18,873.8262266673487,1279.8611873511393,0.6827507821186924,4,2,0
1283,36,3,259.45385254441607,5095,143,12,1030.0733035818594,1171.0783498975659,0.8795938407297511,1,0,0
1833,36,3,207.54669507256892,8707,175,17,985.6265351958853,1455.924675568311,0.6769763242120697,3,1,1
327,24,2,124.90156339007585,2178,162,18,830.3996589186437,1065.7409730350967,0.7791758785005418,1,1,0
1008,18,1,102.93710047587206,8254,153,11,842.5153776010775,1261.2888056053407,0.6679797472686854,1,2,0
1415,41,3,192.99246132538497,5061,150,12,689.8701997485447,907.7583283455716,0.7599712150323783,0,1,0
1174,37,3,238.63328136858885,4216,136,11,856.7498548012678,1202.016992859471,0.7127601854971707,4,2,1
43,20,2,92.15517166626702,357,164,18,754.5098762443652,832.0959245336454,0.9067582883154199,1,2,0
0,0,0,0.0,0,0,0,0.0,0.001,0.0,3,3,1
222,28,3,131.75656581647962,1175,151,16,695.9132313049906,970.787005783828,0.7168547036155473,1,1,0
808,24,2,99.03366588552282,4909,149,14,600.9565550483712,849.2312221984131,0.7076477399084188,1,1,0
0,0,0,0.0,0,0,0,0.0,0.001,0.0,4,2,1
958,34,3,165.88440029807853,4302,157,14,744.323802724341,943.4972034047516,0.7888987906252786,3,2,0
448,39,4,245.91953684267935,1752,155,16,960.6005959697607,1217.6859646561973,0.7888738343477397,1,3,0
0,0,0,0.0,0,0,0,0.0,0.001,0.0,0,3,0
0,0,0,0.0,0,0,0,0.0,0.001,0.0,5,1,1
1013,29,2,144.93365435394063,6187,177,16,884.4786621941307,1258.470128563042,0.702820545453911,5,0,0
488,20,2,82.40840380824007,2941,126,13,496.5838908838927,605.8692474343753,0.8196222088952949,5,2,0
740,27,1,78.55765946725325,3692,139,7,391.8166419644708,498.795264788057,0.7855259855583383,0,1,1
352,21,1,111.3021612826419,2254,139,9,710.7292415835968,1054.9957407129114,0.6736797260464037,2,2,0
0,0,0,0.0,0,0,0,0.0,0.001,0.0,2,3,1
173,20,2,99.33015102946048,998,117,12,572.3249356603831,764.9754923273915,0.7481611390178254,4,0,0
547,38,3,172.0922364376007,2215,156,13,696.5627256452747,973.3599463824805,0.7156270691372391,2,0,0
82,35,3,192.96263959302135,374,160,16,874.320346434274,1227.8553784048588,0.712071113432046,4,1,0
1040,32,3,162.21956271339556,4510,143,15,703.0834953107184,974.7385284263206,0.721304713835228,3,2,0
0,0,0,0.0,0,0,0,0.0,0.001,0.0,1,0,0
1006,25,2,161.55710530732955,6095,157,16,978.5383497047206,1099.4916472669458,0.8899916176144821,1,1,0
63,16,1,100.00964782757973,606,161,18,959.4807971807561,1260.4274085517768,0.7612344754413056,4,1,0
0,0,0,0.0,0,0,0,0.0,0.001,0.0,3,1,1
833,25,1,95.93194144059358,5446,169,11,626.9617069577038,713.2489511372759,0.8790222627849826,3,2,0
0,0,0,0.0,0,0,0,0.0,0.001,0.0,1,1,1
466,36,5,194.4420472212277,2114,164,23,881.7174570540383,1257.1755574679742,0.701347915823204,4,2,1
776,44,4,248.61495035658047,2591,148,16,829.7508598018921,1149.1376979882239,0.7220639104038821,1,1,0
177,17,1,96.36126566223732,1478,146,12,801.9209850747058,1014.3368739446341,0.7905864468439676,1,0,0
398,32,3,175.78625403529125,1509,122,15,665.237035717464,981.9963533711785,0.6774333055654589,5,0,0
0,0,0,0.0,0,0,0,0.0,0.001,0.0,3,0,1
794,34,3,171.6610944380861,3397,149,17,733.648335177164,1091.0419960919476,0.6724290520484564,5,1,0
1909,29,2,177.79763333392472,8352,131,12,777.6601968886423,1144.5038116620278,0.6794736627039609,3,3,0
1220,46,3,209.64633660548046,4349,165,11,747.2866813064395,965.8820691588536,0.7736831494938303,2,0,0
48,18,1,105.2321144243848,396,148,11,857.0149544153754,1201.436202228549,0.7133253957436065,1,1,1
1157,25,3,151.10738874754225,7095,156,20,926.533902876263,1267.1996968611409,0.7311664492749577,2,2,0
451,20,1,108.3864468483333,3820,171,16,917.3168591901444,1306.7904937199314,0.7019616867420692,1,0,1
700,34,3,227.53878651654244,3862,188,18,1253.818425166782,1774.248560496451,0.706675746049895,3,1,0
1053,39,5,162.67237983697188,3730,140,19,576.2013549095416,669.1394778999372,0.8611079960756798,1,3,0
0,0,0,0.0,0,0,0,0.0,0.001,0.0,0,2,0
0,0,0,0.0,0,0,0,0.0,0.001,0.0,1,1,1
635,30,2,178.6060357747679,3076,147,14,864.4786074621805,1233.9572660810875,0.7005741861771838,0,0,0
1332,43,4,226.43507391812648,4814,158,15,818.3498643645995,1165.5739961791298,0.7021003102739368,4,0,1
895,30,3,190.97479561396068,4718,160,16,1005.7214458416905,1305.5623429460322,0.7703358259952997,0,0,0
494,16,0,73.28198566703827,3806,130,5,563.9803167743785,751.4105330780869,0.7505621653506545,0,0,0
0,0,0,0.0,0,0,0,0.0,0.001,0.0,2,0,1
636,24,1,129.11871340309702,4083,156,11,828.0680204996947,1014.4153282033005,0.8163007768882415,2,0,0
604,18,2,90.48454543659764,5459,166,21,817.1880741651264,915.3100808105368,0.8927991631442318,4,0,0
5,5,1,28.454356599620112,41,41,15,227.257412534687,293.85360093286744,0.7733695003676517,2,0,1
1457,35,3,175.37394166556297,6570,159,17,790.643035752226,1158.6779778999953,0.6823664994351569,5,2,0
1519,31,2,145.4832371852567,6864,141,13,657.0572095220925,930.5170783791845,0.7061205267361494,3,1,0
636,21,2,104.83058808611325,4185,140,15,689.5087399586787,859.574947839899,0.8021508091777284,2,2,0
1016,32,2,165.39093462303532,4141,134,10,673.8657519022868,758.7122077059157,0.8881704354538127,4,2,0
267,35,3,167.43340171221695,1052,140,13,657.3026180212337,890.4934231660422,0.7381330405386637,0,3,0
559,47,5,226.223589043737,1968,166,19,796.280080310311,1141.7044475229393,0.6974485227222625,4,3,0
777,34,3,156.58595796335047,3584,157,18,721.6358460930551,985.7407192471035,0.7320747048414836,1,0,0
1337,43,3,256.26587330993794,5227,171,12,1001.4897354976684,1271.922874479546,0.7873824392909553,4,0,0
271,41,5,216.08638510811545,1083,166,21,862.2074867479628,990.9717989429221,0.8700625867130495,2,1,0
1452,19,1,141.88020329612098,9583,129,13,936.1210689097709,1370.7721593836877,0.6829151456728301,0,0,0
535,25,2,131.29397030357117,3305,157,16,810.2306145507185,980.6906295520107,0.8261837017050321,3,3,0
610,26,2,116.67132479163187,3119,134,13,596.1850989759592,709.2912444937871,0.8405363855879112,3,1,1
262,15,1,122.62648634608546,2524,154,15,1181.284007728912,1684.9734828076619,0.7010697911759093,2,2,0
323,27,2,149.3617511930874,2026,173,13,936.55736334458,1397.8016031479765,0.670021669194947,2,0,0
126,28,2,170.34345422317173,649,146,14,874.5582188863513,1192.9544728019346,0.7331027619455127,1,1,1
357,17,1,98.6111974839301,2941,145,12,810.8549325643613,1094.5936925982005,0.7407816599414729,4,0,1
684,18,1,104.23806424054595,5461,148,12,832.2056323360667,1021.7600629727829,0.8144824430843258,2,1,0
329,33,3,183.42579964770053,1708,172,20,952.1324968326256,1055.121270423809,0.9023915293169894,2,4,0
370,35,4,139.14773030835187,1505,145,17,565.1977381074705,665.0799998929517,0.8498191769387776,3,4,1
0,0,0,0.0,0,0,0,0.0,0.001,0.0,2,1,0
1474,33,3,123.05115817724723,7046,160,16,588.0221913839617,682.4163855101734,0.8616765421661985,4,1,0
265,30,3,149.58036107529742,1363,159,16,767.2763090104071,1115.2634501968491,0.6879776333340605,7,1,1
952,28,1,120.95210961038944,5388,160,11,683.901206949874,803.7612792863797,0.8508760307004045,3,5,0
820,23,1,126.22342128814519,5919,170,14,910.7699315942831,1192.0547395355993,0.7640336482778474,0,1,0
0,0,0,0.0,0,0,0,0.0,0.001,0.0,2,2,1
371,37,3,206.76732947775116,1439,146,12,800.2473000517173,1073.5953740126033,0.7453900411854074,1,2,0
151,30,3,159.1910192863044,785,156,16,824.8182653488575,1015.3305324441232,0.8123642882710709,3,2,0
0,0,0,0.0,0,0,0,0.0,0.001,0.0,2,2,0
1257,36,4,172.32558823105038,5223,151,20,715.5884731078963,914.3231435098432,0.7826428524612673,1,1,0
691,17,1,102.70346769563815,4982,125,14,740.0495201568106,1021.3148001645217,0.7246047154487504,2,0,0
965,28,3,172.87727095522007,4778,141,16,855.5677914985104,1158.7515110112408,0.7383531183073561,4,1,1
195,32,2,124.40252857486225,1033,171,15,658.9000901348601,755.668760639314,0.8719430052625369,5,2,1
698,27,2,96.79051834119343,3782,151,16,523.8299274905904,706.6767710312483,0.7412581663412668,5,3,0
508,35,3,149.68871968230494,2438,168,18,717.8825836216083,947.8077864943323,0.7574136801269052,3,1,0
316,41,5,250.8657968760722,1069,140,17,846.329061484515,1235.1688610335834,0.6851930033083176,3,1,0
95,37,3,231.7305087981596,362,142,14,882.5135322859909,1281.7201063035877,0.6885384164184744,2,1,1
2316,40,3,167.03955180193032,8252,146,14,594.9920654614289,690.4190323089103,0.8617839856929305,5,1,1
226,17,1,93.88610120423326,2141,167,13,886.3206620739685,1003.9134212085376,0.8828656369659769,2,2,0
0,0,0,0.0,0,0,0,0.0,0.001,0.0,6,1,1
340,17,1,94.36698534847693,2910,149,17,806.8814101088096,1206.002380332857,0.6690545750714938,3,1,1
706,22,1,146.0524941112692,4631,149,13,956.803989499731,1060.7421385833597,0.902013745562668,4,1,0
823,29,3,174.02478994584152,4373,154,16,923.8038917927971,1264.8334688419147,0.7303759068287738,2,0,0
1030,30,2,124.24250460520331,4513,133,10,543.9435720716879,730.7377828949132,0.7443758688879948,3,0,0
718,31,3,150.19732986284515,3590,156,19,750.3628979344559,1019.4675286342234,0.7360341323864568,4,5,0
667,37,2,190.7465354858525,2378,135,9,679.6918545693995,807.0088965241822,0.8422358879770199,3,0,0
620,39,3,201.36854234024727,2155,137,13,699.2662741589237,832.6082190486807,0.8398503139422399,0,1,0
0,0,0,0.0,0,0,0,0.0,0.001,0.0,0,2,1
0,0,0,0.0,0,0,0,0.0,0.001,0.0,3,0,0
0,0,0,0.0,0,0,0,0.0,0.001,0.0,2,3,1
825,29,2,108.96741902657315,4328,155,11,571.5097576706276,648.8610493775897,0.8807891276858733,2,1,0
1517,42,3,119.2634828433162,5905,165,14,464.0821490289529,616.8551259993029,0.7523357259569524,4,0,0
368,17,2,89.63578818139558,3109,146,18,755.6033251356788,951.3786854963219,0.7942193120938907,1,1,1
